anno	Preneste	Francia	Villa Ada	Castel di Guido	Cavaliere	Fermi	Bufalotta	Cipro	Magna Grecia	Tiburtina	Arenula	Malagrotta	Cinecitta	data_ora	inquinante	ora	data_ora_time	limite
2018		40.0	48.0	48.0	44.0			40.0			40.0	52.0	60.0	2018-08-23 17:00:00	PM2.5	17	2018-08-23	25
2018	14.000000000000002	17.0	10.5	3.5000000000000004	3.0	25.5	13.0	19.0	25.5	26.0	11.0	5.5	10.5	2018-08-23 23:00:00	NO2	23	2018-08-23	200
2018		40.0	48.0	48.0	44.0			40.0			40.0	52.0	60.0	2018-08-23 11:00:00	PM2.5	11	2018-08-23	25
2018		34.0	34.0	34.0	30.0	40.0	28.000000000000004	34.0	38.0	40.0	36.0	34.0	46.0	2018-08-23 15:00:00	PM10	15	2018-08-23	50
2018														2018-08-23 04:00:00	NO2	4	2018-08-23	200
2018	19.0	26.0	20.5	6.0	11.5	23.0	10.5	21.0	28.999999999999996	33.0	17.0	14.499999999999998	19.5	2018-08-23 08:00:00	NO2	8	2018-08-23	200
2018		26.0	13.999999999999998			26.0						12.0		2018-08-23 08:00:00	BENZENE	8	2018-08-23	5
2018		34.0	34.0	34.0	30.0	40.0	28.000000000000004	34.0	38.0	40.0	36.0	34.0	46.0	2018-08-23 19:00:00	PM10	19	2018-08-23	50
2018	57.22222222222222		53.888888888888886	55.55555555555556	48.333333333333336		52.22222222222223	45.0			45.55555555555556	57.77777777777777	56.111111111111114	2018-08-23 19:00:00	O3	19	2018-08-23	180
2018	6.0	9.5	6.0	5.5	2.0	26.5	5.0	11.5	17.0	7.000000000000001	6.5	9.5	8.0	2018-08-23 21:00:00	NO2	21	2018-08-23	200
2018	6.0	14.499999999999998	7.5	2.0	3.5000000000000004	8.5	8.5	9.0	12.5	10.0	9.0	5.0	9.5	2018-08-23 02:00:00	NO2	2	2018-08-23	200
2018		34.0	34.0	34.0	30.0	40.0	28.000000000000004	34.0	38.0	40.0	36.0	34.0	46.0	2018-08-23 13:00:00	PM10	13	2018-08-23	50
2018	70.55555555555556		68.33333333333333	65.0	59.44444444444444		66.66666666666666	57.22222222222222			57.77777777777777	65.0	63.888888888888886	2018-08-23 17:00:00	O3	17	2018-08-23	180
2018		40.0	48.0	48.0	44.0			40.0			40.0	52.0	60.0	2018-08-23 13:00:00	PM2.5	13	2018-08-23	25
2018		8.0	4.0			12.0						4.0		2018-08-23 22:00:00	BENZENE	22	2018-08-23	5
2018		34.0	34.0	34.0	30.0	40.0	28.000000000000004	34.0	38.0	40.0	36.0	34.0	46.0	2018-08-23 11:00:00	PM10	11	2018-08-23	50
2018	43.333333333333336		22.22222222222222	47.77777777777778	35.0		40.55555555555556	40.55555555555556			33.88888888888889	46.666666666666664	43.888888888888886	2018-08-24 00:00:00	O3	24	2018-08-24	180
2018		18.0	6.0			12.0						6.0		2018-08-23 13:00:00	BENZENE	13	2018-08-23	5
2018		40.0	48.0	48.0	44.0			40.0			40.0	52.0	60.0	2018-08-23 15:00:00	PM2.5	15	2018-08-23	25
2018		24.0	6.0			13.999999999999998						6.0		2018-08-23 12:00:00	BENZENE	12	2018-08-23	5
2018		34.0	34.0	34.0	30.0	40.0	28.000000000000004	34.0	38.0	40.0	36.0	34.0	46.0	2018-08-23 17:00:00	PM10	17	2018-08-23	50
2018		40.0	48.0	48.0	44.0			40.0			40.0	52.0	60.0	2018-08-23 19:00:00	PM2.5	19	2018-08-23	25
2018	26.5	21.0	21.0	9.0	7.000000000000001	18.0	13.5	18.0	31.0	29.5	14.000000000000002	13.0	22.0	2018-08-23 06:00:00	NO2	6	2018-08-23	200
2018		8.0	6.0			0.0						8.0		2018-08-23 04:00:00	BENZENE	4	2018-08-23	5
